budget,revenue,runtime,rating,poster_brightness,poster_saturation,poster_dom_r,poster_dom_g,poster_dom_b,num_production_companies,num_production_countries,budget_per_minute,num_genres,is_action,is_animation,is_comedy,is_drama,is_scifi,num_cast,has_cast,num_directors,release_year,release_month,is_summer,is_holiday,is_weekend_month,movie_age,decade,num_keywords,has_keywords,in_collection,is_english
18.683045016112164,19.610712121637366,130,6.478,70.23,46.01,65.0,62.0,62.0,4,1,0.1437157308931705,3,1,0,0,1,0,5,1,1,2000,6,1,0,0,24,2000,20,1,0,1
18.627694921466773,19.66137113410531,105,6.784,157.19,130.06,96.0,119.0,136.0,3,2,0.17740661829968354,3,0,0,1,0,0,5,1,1,2000,11,0,1,0,24,2000,11,1,0,1
18.420680753952364,19.490277291427915,130,6.431,215.6,56.41,171.0,202.0,215.0,3,1,0.14169754426117204,4,0,0,0,1,0,5,1,1,2000,7,1,0,1,24,2000,25,1,0,1
18.13299868483392,19.50701640897853,104,7.01,87.53,54.47,78.0,78.0,76.0,4,1,0.17435575658494157,3,1,0,0,0,1,5,1,1,2000,7,1,0,1,24,2000,4,1,1,1
18.064005814299342,19.740033701991457,127,6.446,130.82,77.85,124.0,105.0,94.0,3,1,0.14223626625432553,2,0,0,1,0,0,5,1,1,2000,12,0,1,1,24,2000,13,1,0,1
18.31532023940565,19.878439919123498,143,7.66,104.25,58.37,104.0,86.0,80.0,4,1,0.12807916251332624,2,0,0,0,1,0,5,1,1,2000,12,0,1,1,24,2000,16,1,0,1
18.450239555902648,19.95865756062427,155,8.222,129.02,102.34,129.0,102.0,73.0,5,2,0.1190338035864687,3,1,0,0,1,0,5,1,1,2000,5,1,0,0,24,2000,26,1,1,1
18.663626930405893,19.685507971453088,82,6.551,136.98,107.84,104.0,101.0,111.0,3,1,0.22760520646836455,4,0,1,0,1,0,5,1,2,2000,5,1,0,0,24,2000,16,1,0,1
18.643824303266577,20.118840103538957,123,6.14,106.05,172.33,105.0,53.0,22.0,2,1,0.15157580734363071,3,1,0,0,0,0,5,1,1,2000,5,1,0,0,24,2000,29,1,1,1
17.822843761378564,19.61594790186397,108,6.692,187.11,59.56,177.0,167.0,166.0,4,1,0.1650263311238756,2,0,0,1,0,0,5,1,1,2000,10,0,0,0,24,2000,16,1,1,1
18.13299868483392,19.32941548912228,106,7.142,32.59,116.93,12.0,25.0,32.0,3,1,0.1710660253286219,3,0,0,0,1,0,5,1,1,2000,11,0,1,0,24,2000,15,1,0,1
17.622173069956816,19.17209683735327,110,6.5,231.56,27.52,230.0,212.0,214.0,4,1,0.16020157336324378,3,1,0,1,0,0,5,1,1,2000,12,0,1,1,24,2000,11,1,1,1
17.622173069956816,19.23087542306092,84,6.834,204.82,82.73,187.0,164.0,161.0,4,3,0.20978777464234305,3,0,1,1,0,0,5,1,2,2000,6,1,0,0,24,2000,17,1,1,1
16.648723960844016,19.181386189443195,120,7.434,184.98,176.06,184.0,114.0,56.0,6,4,0.1387393663403668,4,1,0,0,1,0,5,1,1,2000,7,1,0,1,24,2000,25,1,1,0
18.31532023940565,19.284414229303696,118,6.448,139.03,185.69,138.0,81.0,42.0,2,1,0.1552145783000479,3,1,0,0,0,0,5,1,1,2000,6,1,0,0,24,2000,24,1,0,1
17.76675429577647,19.36174715618618,131,7.437,218.73,55.33,217.0,197.0,172.0,1,1,0.1356240785937135,1,0,0,0,1,0,5,1,1,2000,3,0,0,0,24,2000,7,1,0,1
18.13299868483392,19.189231549802027,124,5.993,64.65,94.59,47.0,51.0,59.0,2,2,0.14623386036156388,3,1,0,0,0,0,5,1,1,2000,12,0,1,1,24,2000,12,1,0,1
18.5159909328476,19.187516687024235,165,7.183,172.74,95.11,172.0,146.0,119.0,4,2,0.11221812686574303,4,1,0,0,1,0,5,1,1,2000,6,1,0,0,24,2000,18,1,0,1
16.759949589762293,19.44321354240413,88,6.381,109.0,125.89,80.0,77.0,80.0,4,1,0.19045397261093513,1,0,0,1,0,0,5,1,1,2000,7,1,0,1,24,2000,12,1,1,1
18.33729914588288,19.391859376668226,98,5.9,189.83,120.92,188.0,140.0,94.0,4,1,0.18711529740696817,3,1,0,1,0,0,5,1,1,2000,11,0,1,0,24,2000,22,1,1,1
18.258161826219297,19.028334151742275,100,5.508,173.34,51.05,150.0,156.0,167.0,3,1,0.18258161826219296,2,0,0,1,0,0,5,1,1,2000,10,0,0,0,24,2000,12,1,1,1
18.36938746009113,19.063657452155688,112,5.955,181.25,108.72,122.0,159.0,179.0,3,2,0.16401238803652793,3,1,0,0,0,1,5,1,1,2000,8,0,0,0,24,2000,9,1,1,1
17.216707972959764,18.97433272080923,98,5.823,190.44,93.4,172.0,138.0,137.0,3,2,0.17568069360163024,2,0,0,1,0,0,5,1,1,2000,5,1,0,0,24,2000,4,1,1,1
18.420680753952364,18.947346377736228,78,7.558,115.6,215.92,111.0,49.0,20.0,2,1,0.23616257376862007,5,0,1,1,0,0,5,1,1,2000,12,0,1,1,24,2000,13,1,1,1
17.50439003707821,18.902106868647387,116,6.0,43.73,31.17,43.0,40.0,38.0,3,1,0.1508999141127432,2,0,0,0,0,0,5,1,1,2000,2,0,0,0,24,2000,13,1,1,1
17.50439003707821,18.785718737898097,119,6.483,107.38,171.26,45.0,69.0,105.0,1,1,0.14709571459729587,4,0,0,0,1,0,5,1,1,2000,2,0,0,0,24,2000,15,1,0,1
17.747336210296442,18.82127400385676,117,6.609,197.28,49.17,189.0,178.0,178.0,2,1,0.15168663427603796,1,0,0,1,0,0,5,1,2,2000,6,1,0,0,24,2000,7,1,0,1
17.034386422832473,18.843989876270804,121,6.973,135.3,113.71,135.0,91.0,64.0,2,1,0.1407800530812601,3,0,0,1,1,0,5,1,1,2000,12,0,1,1,24,2000,27,1,0,1
